Koordinatensystem : Lambert konform konisch
Rechtswert        : 4291500 Meter
Hochwert          : 2781500 Meter
Hoehenlage        : 71 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4291500 2781500  1  1  1  -8.1 1012 181  2.9 3  2.2  94    0    0 172 -301  0
4291500 2781500  1  1  2 -10.9 1012 135  2.9 1  1.6  92    0    0 170 -301  0
4291500 2781500  1  1  3 -13.1 1012 100  2.9 0  1.2  90    0    0 169 -300  0
4291500 2781500  1  1  4 -13.4 1011 104  2.8 0  1.2  89    0    0 169 -300  0
4291500 2781500  1  1  5 -13.7 1011 108  2.7 0  1.2  89    0    0 168 -300  0
4291500 2781500  1  1  6 -13.8 1010  96  2.9 0  1.2  90    0    0 166 -300  0
4291500 2781500  1  1  7 -14.6 1009 108  2.3 0  1.1  88    0    0 165 -301  0
4291500 2781500  1  1  8 -15.1 1009 118  1.5 0  1.0  87    0    0 161 -302  0
4291500 2781500  1  1  9 -15.0 1008  97  2.6 0  1.0  87    2   10 158 -302  0
4291500 2781500  1  1 10 -13.1 1008  98  2.4 1  1.1  87   38   56 165 -303  0
4291500 2781500  1  1 11  -9.5 1007 131  2.3 1  1.3  80   70   96 176 -306  0
4291500 2781500  1  1 12  -6.9 1006 151  2.8 3  1.4  70   42  124 194 -309  0
4291500 2781500  1  1 13  -6.2 1004 162  3.2 6  1.6  67    2   84 230 -311  0
4291500 2781500  1  1 14  -5.2 1003 174  2.8 7  1.8  70    0   41 258 -312  0
4291500 2781500  1  1 15  -4.4 1002 184  3.1 8  2.0  75    0   29 273 -314  0
4291500 2781500  1  1 16  -4.4 1001 173  3.4 8  2.2  80    0    4 282 -314  0
4291500 2781500  1  1 17  -4.4 1000 187  3.6 8  2.3  83    0    0 283 -314  0
4291500 2781500  1  1 18  -4.4  999 185  3.7 8  2.4  85    0    0 284 -314  0
4291500 2781500  1  1 19  -4.1  997 178  3.8 8  2.5  88    0    0 284 -315  0
4291500 2781500  1  1 20  -4.1  996 160  4.9 8  2.6  91    0    0 286 -315  0
4291500 2781500  1  1 21  -3.4  993 165  5.2 8  2.7  92    0    0 287 -316  0
4291500 2781500  1  1 22  -2.5  992 172  5.4 8  2.9  95    0    0 288 -316  0
4291500 2781500  1  1 23  -1.0  990 178  5.6 8  3.4  99    0    0 295 -316  0
4291500 2781500  1  1 24   0.1  988 187  6.6 8  3.8 100    0    0 301 -317  0
4291500 2781500  1  2  1   0.7  987 182  6.6 8  4.0  99    0    0 305 -317  0
4291500 2781500  1  2  2   1.3  985 183  6.4 8  4.2  99    0    0 309 -319  0
4291500 2781500  1  2  3   2.1  984 205  5.9 8  4.4 100    0    0 314 -322  0
4291500 2781500  1  2  4   2.6  983 195  5.9 8  4.6 100    0    0 318 -323  0
4291500 2781500  1  2  5   3.1  982 193  5.7 8  4.8 100    0    0 321 -323  0
4291500 2781500  1  2  6   4.1  981 214  6.5 8  5.1 100    0    0 323 -325  0
4291500 2781500  1  2  7   5.6  981 232  7.9 8  5.5  99    0    0 329 -331  0
4291500 2781500  1  2  8   6.0  981 241  7.5 8  5.7  96    0    0 332 -338  0
4291500 2781500  1  2  9   6.6  981 241  7.2 8  5.7  93    0    7 334 -342  0
4291500 2781500  1  2 10   7.0  982 233  6.8 8  5.9  92    2   40 336 -344  0
4291500 2781500  1  2 11   7.8  983 236  6.8 6  6.0  91    5   75 317 -345  0
4291500 2781500  1  2 12   8.3  983 243  5.8 6  6.1  89    9  105 299 -346  0
4291500 2781500  1  2 13   8.4  982 242  5.3 7  6.1  86    0   75 317 -348  0
4291500 2781500  1  2 14   8.2  981 212  3.2 8  6.0  85    0   39 332 -349  0
4291500 2781500  1  2 15   8.2  981 208  3.2 7  6.0  85    0   22 332 -348  0
4291500 2781500  1  2 16   7.6  980 201  2.8 8  6.0  87    0   11 331 -346  0
4291500 2781500  1  2 17   6.6  979 180  3.9 7  6.0  93    0    0 329 -345  0
4291500 2781500  1  2 18   6.1  977 198  3.2 7  6.0  98    0    0 320 -344  0
4291500 2781500  1  2 19   5.2  976 191  2.6 8  5.8  99    0    0 324 -343  0
4291500 2781500  1  2 20   4.8  975 354  2.0 8  5.6 100    0    0 330 -343  0
4291500 2781500  1  2 21   3.3  974 170  1.9 6  5.3 100    0    0 313 -342  0
4291500 2781500  1  2 22   3.6  974 124  2.4 4  5.0 100    0    0 286 -341  0
4291500 2781500  1  2 23   3.0  973 128  2.0 5  5.0  99    0    0 281 -340  0
4291500 2781500  1  2 24   3.1  973  46  2.3 8  4.9  99    0    0 303 -339  0
4291500 2781500  1  3  1   3.1  973  35  3.1 8  4.9 100    0    0 321 -338  0
4291500 2781500  1  3  2   3.4  973 204  2.9 8  5.0 100    0    0 322 -336  0
4291500 2781500  1  3  3   5.9  974 250  5.1 8  5.5 100    0    0 327 -335  0
4291500 2781500  1  3  4   6.6  975 251  3.9 8  6.2 100    0    0 332 -334  0
4291500 2781500  1  3  5   6.6  976 255  5.2 8  6.3 100    0    0 331 -333  0
4291500 2781500  1  3  6   6.3  977 257  7.4 8  6.2 100    0    0 331 -332  0
4291500 2781500  1  3  7   5.9  978 264  6.5 7  6.0  99    0    0 322 -331  0
4291500 2781500  1  3  8   3.7  978 313  5.0 8  5.5  99    0    0 317 -329  0
4291500 2781500  1  3  9   1.2  980 306  5.7 8  4.7 100    0    9 313 -327  0
4291500 2781500  1  3 10   0.4  982 281  4.4 8  4.2 100    0   24 307 -324  0
4291500 2781500  1  3 11   0.7  984 271  3.6 8  4.1 100    0   54 305 -321  0
4291500 2781500  1  3 12   0.7  985 291  4.2 8  4.1 100    0   46 305 -320  0
4291500 2781500  1  3 13   0.9  986 272  4.0 8  4.1 100    0   27 304 -319  0
4291500 2781500  1  3 14   1.4  986 272  3.3 8  4.2 100    0   22 304 -318  0
4291500 2781500  1  3 15   1.3  987 290  2.3 6  4.2  98    0   39 290 -317  0
4291500 2781500  1  3 16   0.9  988 316  2.1 8  4.1  98    0   23 289 -316  0
4291500 2781500  1  3 17   0.5  988   7  1.3 8  4.1  99    0    0 299 -316  0
4291500 2781500  1  3 18   0.3  988 337  1.4 8  4.0 100    0    0 297 -316  0
4291500 2781500  1  3 19   0.0  988   6  1.5 8  3.9 100    0    0 295 -314  0
4291500 2781500  1  3 20  -0.2  988  71  1.0 7  3.9 100    0    0 287 -313  0
4291500 2781500  1  3 21  -0.3  988  11  1.1 8  3.8 100    0    0 285 -312  0
4291500 2781500  1  3 22  -0.4  989  41  1.9 8  3.8 100    0    0 288 -311  0
4291500 2781500  1  3 23  -0.4  988  46  2.0 8  3.8 100    0    0 285 -310  0
4291500 2781500  1  3 24  -0.5  988  41  1.7 8  3.8 100    0    0 284 -310  0
4291500 2781500  1  4  1  -0.7  989  39  2.1 8  3.7 100    0    0 283 -311  0
4291500 2781500  1  4  2  -0.9  989  18  2.0 8  3.7 100    0    0 281 -311  0
4291500 2781500  1  4  3  -1.2  989   7  2.1 7  3.6 100    0    0 273 -310  0
4291500 2781500  1  4  4  -1.4  990   2  2.5 7  3.5 100    0    0 264 -308  0
4291500 2781500  1  4  5  -1.6  990 349  2.4 8  3.5 100    0    0 269 -305  0
4291500 2781500  1  4  6  -1.8  991   8  3.1 8  3.4 100    0    0 273 -302  0
4291500 2781500  1  4  7  -1.9  992 350  2.8 8  3.4 100    0    0 273 -300  0
4291500 2781500  1  4  8  -2.4  993 352  3.5 8  3.3 100    0    0 272 -299  0
4291500 2781500  1  4  9  -2.3  994 359  2.6 8  3.2 100    0    4 271 -299  0
4291500 2781500  1  4 10  -2.3  995   7  2.6 8  3.2  97    0   31 272 -299  0
4291500 2781500  1  4 11  -2.1  996  10  2.3 6  3.1  95    7   72 259 -301  0
4291500 2781500  1  4 12  -2.0  996 340  2.3 2  3.0  91   76  113 221 -303  0
4291500 2781500  1  4 13  -1.7  997 359  3.1 3  2.9  86   41  123 206 -304  0
4291500 2781500  1  4 14  -1.7  997  36  2.7 4  2.8  84   16  100 222 -305  0
4291500 2781500  1  4 15  -2.3  998 359  2.4 4  2.8  85    7   65 230 -305  0
4291500 2781500  1  4 16  -3.4  999  17  2.2 4  2.7  88    2   28 230 -303  0
4291500 2781500  1  4 17  -4.7  999  36  1.8 2  2.6  93    0    0 218 -300  0
4291500 2781500  1  4 18  -6.7 1000 358  1.5 1  2.4  97    0    0 199 -297  0
4291500 2781500  1  4 19  -7.8 1000 349  1.7 1  2.2  98    0    0 190 -294  0
4291500 2781500  1  4 20  -8.7 1001 358  1.2 1  2.0  99    0    0 188 -292  0
4291500 2781500  1  4 21  -9.4 1001 359  1.3 1  1.9  99    0    0 185 -291  0
4291500 2781500  1  4 22  -9.8 1001 312  1.9 5  1.8  98    0    0 204 -289  0
4291500 2781500  1  4 23  -7.5 1002 294  1.6 6  2.0  99    0    0 234 -288  0
4291500 2781500  1  4 24  -6.1 1002 359  1.5 7  2.3 100    0    0 249 -287  0
4291500 2781500  1  5  1  -4.9 1003 331  1.8 7  2.5 100    0    0 258 -285  0
4291500 2781500  1  5  2  -4.5 1002 350  2.3 7  2.7 100    0    0 260 -284  0
4291500 2781500  1  5  3  -5.3 1003 359  3.2 6  2.6  97    0    0 254 -282  0
4291500 2781500  1  5  4  -5.4 1003   9  2.5 6  2.5  96    0    0 248 -281  0
4291500 2781500  1  5  5  -7.4 1003 319  2.6 5  2.2  94    0    0 240 -279  0
4291500 2781500  1  5  6  -8.8 1003 330  2.1 3  1.9  91    0    0 219 -278  0
4291500 2781500  1  5  7  -9.8 1003 329  2.0 2  1.8  95    0    0 202 -277  0
4291500 2781500  1  5  8 -11.5 1004 251  1.8 3  1.7  97    0    0 198 -276  0
4291500 2781500  1  5  9 -11.5 1004 211  1.8 3  1.5  97    4   10 200 -277  0
4291500 2781500  1  5 10  -9.1 1004 259  1.9 2  1.7  97   52   44 198 -282  0
4291500 2781500  1  5 11  -7.5 1004 248  1.6 1  1.9  93   98   72 193 -288  0
4291500 2781500  1  5 12  -6.4 1004 241  2.3 2  1.9  85   89  104 196 -294  0
4291500 2781500  1  5 13  -6.9 1004 296  2.4 6  1.9  82    5   88 222 -298  0
4291500 2781500  1  5 14  -7.2 1003 306  3.0 7  1.9  86    0   43 249 -302  0
4291500 2781500  1  5 15  -7.0 1003 359  1.1 7  1.9  86    0   33 255 -304  0
4291500 2781500  1  5 16  -6.8 1003 194  1.7 6  2.0  86    0   12 249 -305  0
4291500 2781500  1  5 17  -7.1 1002 194  2.4 7  2.0  87    0    0 248 -306  0
4291500 2781500  1  5 18  -6.9 1002 192  2.6 7  2.0  88    0    0 253 -308  0
4291500 2781500  1  5 19  -6.6 1002 186  2.9 8  2.1  89    0    0 260 -310  0
4291500 2781500  1  5 20  -6.5 1002 170  3.1 7  2.1  89    0    0 262 -312  0
4291500 2781500  1  5 21  -6.5 1002 175  3.4 7  2.1  88    0    0 258 -313  0
4291500 2781500  1  5 22  -6.7 1002 187  3.5 7  2.1  89    0    0 257 -313  0
4291500 2781500  1  5 23  -6.5 1001 179  3.9 6  2.0  88    0    0 251 -313  0
4291500 2781500  1  5 24  -6.3 1001 182  3.9 6  2.0  86    0    0 245 -314  0
4291500 2781500  1  6  1  -5.7 1001 171  4.3 7  2.1  85    0    0 251 -314  0
4291500 2781500  1  6  2  -5.6 1001 182  4.2 8  2.2  86    0    0 262 -315  0
4291500 2781500  1  6  3  -5.5 1001 178  4.1 8  2.2  88    0    0 268 -315  0
4291500 2781500  1  6  4  -5.4 1001 156  3.8 8  2.3  88    0    0 267 -315  0
4291500 2781500  1  6  5  -5.3 1001 162  3.9 8  2.3  88    0    0 266 -316  0
4291500 2781500  1  6  6  -5.4 1001 145  3.5 8  2.3  90    0    0 265 -316  0
4291500 2781500  1  6  7  -5.3 1000 147  2.8 7  2.4  93    0    0 260 -316  0
4291500 2781500  1  6  8  -5.2 1001 118  2.8 8  2.5  95    0    0 259 -316  0
4291500 2781500  1  6  9  -5.2 1001 114  2.3 8  2.5  96    0    8 264 -314  0
4291500 2781500  1  6 10  -4.9 1002 105  2.9 7  2.5  96    0   22 261 -310  0
4291500 2781500  1  6 11  -4.4 1002 111  2.2 8  2.6  96    0   34 262 -307  0
4291500 2781500  1  6 12  -3.9 1003  97  2.7 6  2.7  97    0   62 259 -306  0
4291500 2781500  1  6 13  -3.7 1003  77  2.9 7  2.8  97    0   60 253 -305  0
4291500 2781500  1  6 14  -3.8 1003  68  3.1 8  2.7  94    0   43 263 -303  0
4291500 2781500  1  6 15  -3.7 1003  64  3.2 6  2.7  92    2   62 256 -302  0
4291500 2781500  1  6 16  -4.5 1004  80  4.1 8  2.6  93    0   22 255 -298  0
4291500 2781500  1  6 17  -5.6 1005  73  4.3 8  2.4  93    0    0 263 -295  0
4291500 2781500  1  6 18  -6.3 1006  74  3.9 8  2.3  93    0    0 260 -291  0
4291500 2781500  1  6 19  -6.8 1007  74  3.8 7  2.2  92    0    0 254 -289  0
4291500 2781500  1  6 20  -7.4 1008  76  4.1 8  2.1  92    0    0 252 -287  0
4291500 2781500  1  6 21  -8.1 1008  62  4.1 8  2.0  93    0    0 254 -285  0
4291500 2781500  1  6 22  -9.0 1009  62  4.7 7  1.8  92    0    0 246 -283  0
4291500 2781500  1  6 23  -9.7 1010  64  4.5 7  1.7  91    0    0 238 -281  0
4291500 2781500  1  6 24  -9.7 1010  80  4.2 7  1.7  92    0    0 237 -280  0
4291500 2781500  1  7  1 -10.2 1011  69  3.3 7  1.7  93    0    0 236 -278  0
4291500 2781500  1  7  2 -10.4 1011  72  3.6 7  1.6  94    0    0 235 -277  0
4291500 2781500  1  7  3 -10.1 1012  58  2.9 7  1.6  95    0    0 235 -275  0
4291500 2781500  1  7  4  -9.8 1012  44  3.2 7  1.7  95    0    0 235 -275  0
4291500 2781500  1  7  5  -9.8 1012  66  3.3 8  1.7  94    0    0 240 -274  0
4291500 2781500  1  7  6 -10.0 1012  65  3.6 8  1.7  93    0    0 242 -273  0
4291500 2781500  1  7  7  -9.9 1012  40  3.0 8  1.7  93    0    0 242 -273  0
4291500 2781500  1  7  8  -9.6 1012  38  3.1 8  1.7  93    0    0 242 -272  0
4291500 2781500  1  7  9  -9.5 1012  68  2.5 8  1.7  92    1    9 241 -271  0
4291500 2781500  1  7 10  -9.4 1013  33  2.3 8  1.7  92    9   37 239 -271  0
4291500 2781500  1  7 11  -9.0 1014  70  2.1 8  1.7  88    9   62 240 -274  0
4291500 2781500  1  7 12  -8.7 1013  19  2.1 7  1.6  82    9   81 238 -279  0
4291500 2781500  1  7 13  -9.2 1012 347  2.6 5  1.5  80   49   92 227 -284  0
4291500 2781500  1  7 14  -9.0 1012  11  3.4 5  1.5  80   25   84 219 -287  0
