building_id,Sanierungszustand,A_NGF_m2,Ht_W_per_K,Q_kW_mittleres,Q_kW_kaltes,Q_kW_heisses
DEBBAL520000wbwH,vollsaniert,15.86,80.54,0.76355,0.74422,0.51709
DEBBAL520000w9wR,unsaniert,168.8,329.08,12.04441,11.781139999999999,8.68777
DEBBAL520000w9vz,vollsaniert,2.19,11.01,0.10441,0.10177,0.07071
DEBBAL520000w9GU,teilsaniert,12.99,67.25,1.74747,1.70928,1.26047
DEBBAL520000w9ER,unsaniert,53.21,145.43,4.1593599999999995,4.04302,2.67595
DEBBAL01000bs7dO,vollsaniert,5.34,25.41,0.2409,0.2348,0.16313999999999998
DEBBAL520000w9GB,unsaniert,91.3,183.1,6.70138,6.5549,4.83378
DEBBAL520000w9DA,vollsaniert,598.17,2179.83,30.474040000000002,29.95088,23.803759999999997
DEBBAL520000wbwx,teilsaniert,135.95,281.89,7.32525,7.16514,5.28379
DEBBAL520000w9Eh,teilsaniert,81.34,144.72,3.76068,3.67847,2.71262
DEBBAL520000w9wE,teilsaniert,112.72,286.29,7.43959,7.27697,5.3662600000000005
DEBBAL520000w9El,unsaniert,110.35,247.48,9.05777,8.85978,6.53347
DEBBAL520000w9yh,vollsaniert,82.09,403.53,3.82548,3.72863,2.5906700000000003
DEBBAL520000w9FU,unsaniert,135.81,271.82,9.948709999999998,9.73125,7.17612
DEBBAL520000w9xP,teilsaniert,150.7,271.64,7.05894,6.9046400000000006,5.09169
DEBBAL520000w9Fx,unsaniert,41.31,126.38,4.62537,4.5242700000000005,3.33633
DEBBAL520000wbwF,teilsaniert,132.45,262.1,6.81088,6.66201,4.91277
DEBBAL520000w9Gx,unsaniert,6.39,37.71,1.0786,1.04843,0.6939299999999999
DEBBAL520000w9w0,unsaniert,17.82,73.1,2.09058,2.0321,1.34499
DEBBAL520000w9wa,unsaniert,72.96,209.9,7.68234,7.51442,5.54136
DEBBAL520000w9wH,vollsaniert,206.11,385.83,4.23639,4.14379,3.0557600000000003
DEBBAL520000w9FR,unsaniert,13.93,76.01,2.17387,2.11306,1.3985699999999999
DEBBAL520000w9xf,unsaniert,134.29,275.83,10.095229999999999,9.87457,7.2818000000000005
DEBBAL520000w9E1,unsaniert,4.98,25.93,0.7416799999999999,0.72094,0.47717000000000004
DEBBAL520000w9x2,unsaniert,127.73,277.58,10.159510000000001,9.93744,7.32817
DEBBAL520000w9xU,unsaniert,180.31,450.88,16.502290000000002,16.14158,11.90329
DEBBAL520000w9Fh,unsaniert,11.7,56.97,1.6293,1.58373,1.04822
DEBBAL520000w9wL,unsaniert,145.62,273.3,10.002790000000001,9.78415,7.21513
DEBBAL520000w9Hs,unsaniert,10.94,45.72,1.67343,1.63685,1.20706
DEBBAL520000w9FN,unsaniert,8.94,30.9,1.1309,1.1061800000000002,0.8157300000000001
DEBBAL520000w9Hi,unsaniert,28.16,90.28,3.30431,3.23208,2.3834400000000002
DEBBAL520000w9F1,unsaniert,119.32,212.41,7.7741999999999996,7.6042700000000005,5.60762
DEBBAL520000w9EI,unsaniert,150.92,314.27,11.50231,11.25089,8.29675
DEBBAL520000w9w2,unsaniert,199.94,346.0,12.66358,12.38678,9.134379999999998
DEBBAL520000w9Gf,unsaniert,6.59,35.52,1.0158099999999999,0.9873999999999999,0.6535299999999999
DEBBAL520000w9wo,teilsaniert,11.51,56.24,1.14204,1.11009,0.7347400000000001
DEBBAL520000w9xd,unsaniert,158.65,299.33,10.95533,10.71587,7.90221
DEBBAL520000wbf6,teilsaniert,23.31,141.51,3.67736,3.59698,2.65252
DEBBAL520000w9xY,unsaniert,78.94,245.42,8.98255,8.786209999999999,6.479220000000001
DEBBAL520000w9Gi,unsaniert,24.47,129.3,4.7324399999999995,4.629,3.41357
DEBBAL520000w9xg,unsaniert,3.57,26.22,0.74987,0.72889,0.48243
DEBBAL520000w9F2,unsaniert,28.95,191.87,6.63871,6.48521,4.68163
DEBBAL520000w9wI,teilsaniert,115.34,291.41,7.572520000000001,7.407,5.462140000000001
DEBBAL520000w9Hu,unsaniert,11.44,40.88,1.49609,1.4633900000000002,1.0791400000000002
DEBBAL520000w9E2,teilsaniert,198.9,366.83,9.53234,9.32399,6.87579
DEBBAL520000w9xZ,unsaniert,175.21,311.63,11.405629999999999,11.15632,8.22701
DEBBAL520000w9FW,unsaniert,89.47,189.67,6.94182,6.79008,5.00721
DEBBAL520000w9FH,unsaniert,10.44,32.47,1.1884100000000002,1.1624400000000001,0.85722
DEBBAL01000bnlNA,teilsaniert,27.47,101.43,2.6358800000000002,2.57827,1.90129
DEBBAL520000w9wf,teilsaniert,226.6,419.67,10.905569999999999,10.66719,7.86631
DEBBAL520000w9Fp,unsaniert,131.39,224.77,8.22659,8.04678,5.93394
DEBBAL520000w9Hb,unsaniert,12.7,76.92,2.8154299999999997,2.7538899999999997,2.0308
DEBBAL520000w9wA,vollsaniert,160.46,316.57,3.4759,3.3999200000000003,2.50721
DEBBAL520000w9DL,teilsaniert,79.6,265.7,6.90458,6.75366,4.9803500000000005
DEBBAL520000w9wZ,unsaniert,31.38,207.77,7.60429,7.43808,5.485060000000001
DEBBAL520000w9vZ,unsaniert,72.64,208.61,7.63522,7.46833,5.50737
DEBBAL01000bhPdc,teilsaniert,13.41,69.39,1.8030599999999999,1.7636500000000002,1.30057
DEBBAL520000w9E9,teilsaniert,1787.66,5249.02,128.94743,125.96599,90.93402999999999
DEBBAL520000w9yf,teilsaniert,13.25,56.61,1.471,1.43885,1.06105
DEBBAL520000w9xE,teilsaniert,164.17,321.49,8.354190000000001,8.17159,6.02598
DEBBAL520000w9Gh,unsaniert,19.76,88.52,2.5317399999999997,2.46092,1.6288099999999999
DEBBAL520000w9DZ,unsaniert,4.46,31.09,0.88914,0.86427,0.5720299999999999
DEBBAL010007l5VJ,teilsaniert,186.05,264.18,6.86504,6.71498,4.95183
DEBBAL520000w9vC,vollsaniert,37.33,339.51,3.52415,3.44266,2.4852399999999997
DEBBAL520000w9xQ,teilsaniert,59.42,262.55,6.82262,6.67349,4.92124
DEBBAL520000w9GG,teilsaniert,3.91,24.8,0.5036499999999999,0.48956,0.32403
DEBBAL520000w9xa,unsaniert,229.44,425.66,15.57924,15.23871,11.23749
DEBBAL520000wbf2,unsaniert,100.8,231.45,8.47101,8.28585,6.11023
DEBBAL520000w9w4,unsaniert,78.78,210.98,7.7218800000000005,7.553100000000001,5.56988
DEBBAL520000w9Gm,teilsaniert,890.64,2243.55,58.30091,57.02658,42.05312
DEBBAL520000w9vl,unsaniert,10.46,58.85,2.1539200000000003,2.10684,1.5536500000000002
DEBBAL520000w9vt,unsaniert,0.63,4.44,0.14038,0.13683,0.09506999999999999
DEBBAL520000w9EF,unsaniert,9.02,49.11,1.4045699999999999,1.36529,0.90364
DEBBAL520000w9xV,unsaniert,161.99,274.53,10.04767,9.82805,7.2475
DEBBAL520000w9FC,teilsaniert,123.25,258.35,6.71349,6.566739999999999,4.84251
DEBBAL520000wbf8,teilsaniert,15.83,88.95,2.31145,2.26092,1.66727
DEBBAL520000w9Gu,unsaniert,105.95,203.08,7.43283,7.270359999999999,5.3613800000000005
DEBBAL520000w9vM,unsaniert,274.93,492.14,18.01229,17.61858,12.992469999999999
DEBBAL520000w9w3,teilsaniert,81.03,242.92,6.3125,6.17452,4.55328
DEBBAL520000w9yr,vollsaniert,92.88,491.03,4.6549499999999995,4.537100000000001,3.1524
DEBBAL520000w9Ev,unsaniert,120.36,213.02,7.7964899999999995,7.6260699999999995,5.6236999999999995
DEBBAL520000w9wl,unsaniert,145.2,299.89,10.976,10.73609,7.91711
DEBBAL520000w9Ft,teilsaniert,132.54,244.27,6.34755,6.2088,4.57856
DEBBAL520000w9xO,teilsaniert,127.67,237.28,6.166,6.03123,4.44761
DEBBAL520000wbwz,vollsaniert,755.47,1105.44,12.13776,11.87245,8.7551
DEBBAL520000w9Dx,teilsaniert,179.14,312.34,8.11639,7.93898,5.85445
DEBBAL520000wbwC,teilsaniert,12.59,69.82,1.4178199999999999,1.37816,0.91216
DEBBAL520000w9yp,vollsaniert,1596.58,5764.63,54.64868,53.26517,37.008919999999996
DEBBAL520000w9vY,vollsaniert,1063.76,5696.97,59.13454,57.767269999999996,41.701809999999995
DEBBAL520000wbf7,teilsaniert,11.77,62.8,1.6318599999999999,1.59619,1.17708
DEBBAL520000w9wh,unsaniert,80.07,220.66,8.07598,7.89945,5.82529
DEBBAL520000wbeW,teilsaniert,8.95,55.44,1.1258599999999999,1.0943699999999998,0.72433
DEBBAL520000wbf9,teilsaniert,20.3,114.25,2.96881,2.9039200000000003,2.1414400000000002
DEBBAL520000w9H6,vollsaniert,11.34,57.76,0.63421,0.6203500000000001,0.45746
DEBBAL520000w9G8,vollsaniert,251.56,486.15,5.33788,5.22121,3.85028
DEBBAL520000w9FG,unsaniert,130.85,253.37,9.27336,9.07066,6.68898
DEBBAL520000w9EG,unsaniert,119.0,229.54,8.401309999999999,8.21767,6.05996
DEBBAL520000w9wc,unsaniert,167.26,323.36,11.83492,11.576229999999999,8.53666
DEBBAL520000w9Fl,teilsaniert,193.22,352.85,9.16924,8.96882,6.61388
DEBBAL520000w9EN,unsaniert,206.5,336.34,12.31008,12.041,8.8794
DEBBAL520000w9wq,vollsaniert,99.04,230.1,2.5265500000000003,2.47132,1.82243
DEBBAL520000w9Dr,vollsaniert,3.89,24.63,0.23347,0.22756,0.15811
DEBBAL520000w9wj,vollsaniert,23.34,214.62,2.22778,2.17627,1.57103
DEBBAL520000w9vo,teilsaniert,157.98,317.6,8.253200000000001,8.0728,5.95313
DEBBAL520000w9Go,unsaniert,118.05,221.19,8.09566,7.918699999999999,5.83949
DEBBAL520000w9FD,unsaniert,113.04,194.5,7.11885,6.96325,5.13491
DEBBAL520000w9vd,vollsaniert,1063.76,5702.82,59.19523,57.82656,41.744620000000005
DEBBAL520000w9wm,unsaniert,74.93,224.39,8.212530000000001,8.03302,5.92379
DEBBAL520000w9FF,unsaniert,16.03,81.93,2.34318,2.27764,1.5075
DEBBAL520000w9Gv,unsaniert,15.81,78.45,2.24379,2.1810300000000002,1.44356
DEBBAL520000w9wD,unsaniert,128.03,223.92,8.19552,8.01638,5.91152
