type,element,name,value,limit,severity
undervoltage,bus_107,n-4626137737,0.844 pu,0.900 pu,critical
undervoltage,bus_126,n-4626137756,0.892 pu,0.900 pu,warning
undervoltage,bus_212,n-4626137845,0.690 pu,0.900 pu,critical
undervoltage,bus_247,n-4626137882,0.638 pu,0.900 pu,critical
undervoltage,bus_301,n-4626137937,0.765 pu,0.900 pu,critical
undervoltage,bus_362,n-4626137999,0.881 pu,0.900 pu,warning
undervoltage,bus_365,n-4626138003,0.715 pu,0.900 pu,critical
undervoltage,bus_419,n-4626138059,0.892 pu,0.900 pu,warning
undervoltage,bus_526,n-4626138174,0.863 pu,0.900 pu,warning
undervoltage,bus_552,n-4626138202,0.763 pu,0.900 pu,critical
undervoltage,bus_641,n-4626138297,0.810 pu,0.900 pu,critical
undervoltage,bus_643,n-4626138299,0.849 pu,0.900 pu,critical
undervoltage,bus_658,n-4626138315,0.808 pu,0.900 pu,critical
undervoltage,bus_691,n-4626138349,0.700 pu,0.900 pu,critical
undervoltage,bus_784,n-4626138447,0.734 pu,0.900 pu,critical
undervoltage,bus_837,n-4626138502,0.826 pu,0.900 pu,critical
undervoltage,bus_844,n-4626138509,0.763 pu,0.900 pu,critical
undervoltage,bus_907,n-4626138574,0.881 pu,0.900 pu,warning
undervoltage,bus_936,n-4626138604,0.810 pu,0.900 pu,critical
undervoltage,bus_953,n-4626138622,0.809 pu,0.900 pu,critical
undervoltage,bus_1089,n-4626138763,0.871 pu,0.900 pu,warning
undervoltage,bus_1130,n-4626138806,0.826 pu,0.900 pu,critical
undervoltage,bus_1239,n-4626138922,0.700 pu,0.900 pu,critical
undervoltage,bus_1271,n-4626138956,0.863 pu,0.900 pu,warning
undervoltage,bus_1302,n-4626138988,0.765 pu,0.900 pu,critical
undervoltage,bus_1330,n-4626139018,0.734 pu,0.900 pu,critical
undervoltage,bus_1364,n-4626139053,0.715 pu,0.900 pu,critical
overload,line_0,w-852760_-4626136267--4626136296,177.5%,100.0%,critical
overload,line_1,w-852764_-4626136238--4626136202,162.4%,100.0%,critical
overload,line_3,w-852770_-4626136259--4626136211,164.5%,100.0%,critical
overload,line_4,w-852770_-4626136211--4626136178,164.5%,100.0%,critical
overload,line_5,w-852770_-4626136178--4626136282,164.5%,100.0%,critical
overload,line_6,w-852771_-4626136231--4626136251,177.5%,100.0%,critical
overload,line_7,w-852771_-4626136251--4626136329,177.5%,100.0%,critical
overload,line_8,w-852771_-4626136329--4626136264,177.5%,100.0%,critical
overload,line_9,w-852771_-4626136264--4626136253,177.5%,100.0%,critical
overload,line_10,w-852772_-4626136195--4626136266,164.5%,100.0%,critical
overload,line_11,w-852772_-4626136266--4626136259,164.5%,100.0%,critical
overload,line_12,w-852776_-4626136170--4626136246,164.5%,100.0%,critical
overload,line_13,w-852776_-4626136246--4626136302,164.5%,100.0%,critical
overload,line_14,w-852778_-4626136168--4626136224,164.8%,100.0%,critical
overload,line_15,w-852778_-4626136224--4626136166,164.5%,100.0%,critical
overload,line_16,w-852781_-4626136299--4626136328,164.5%,100.0%,critical
overload,line_17,w-852781_-4626136328--4626136289,164.5%,100.0%,critical
overload,line_18,w-852781_-4626136289--4626136161,164.5%,100.0%,critical
overload,line_19,w-852782_-4626136244--4626136195,164.5%,100.0%,critical
overload,line_20,w-852784_-4626136183--4626136285,164.5%,100.0%,critical
overload,line_21,w-852788_-4626136154--4626136310,177.5%,100.0%,critical
overload,line_22,w-852788_-4626136310--4626136194,177.5%,100.0%,critical
overload,line_23,w-852789_-4626136241--4626136253,177.5%,100.0%,critical
overload,line_24,w-852793_-4626136273--4626136217,170.2%,100.0%,critical
overload,line_28,w-852797_-4626136298--4626136208,177.5%,100.0%,critical
overload,line_29,w-852797_-4626136208--4626136169,177.5%,100.0%,critical
overload,line_30,w-852797_-4626136169--4626136245,177.5%,100.0%,critical
overload,line_31,w-852801_-4626136230--4626136307,163.4%,100.0%,critical
overload,line_32,w-852801_-4626136307--4626136238,162.4%,100.0%,critical
overload,line_33,w-852802_-4626136213--4626136223,164.5%,100.0%,critical
overload,line_34,w-852802_-4626136223--4626136299,164.5%,100.0%,critical
overload,line_35,w-852805_-4626136296--4626136298,177.5%,100.0%,critical
overload,line_36,w-852807_-4626136167--4626136273,171.8%,100.0%,critical
overload,line_37,w-852808_-4626136285--4626136175,164.5%,100.0%,critical
overload,line_38,w-852808_-4626136175--4626136331,164.5%,100.0%,critical
overload,line_39,w-852808_-4626136331--4626136213,164.5%,100.0%,critical
overload,line_40,w-852811_-4626136231--4626136332,177.5%,100.0%,critical
overload,line_41,w-852811_-4626136332--4626136196,177.5%,100.0%,critical
overload,line_42,w-852811_-4626136196--4626136267,177.5%,100.0%,critical
overload,line_43,w-852812_-4626136282--4626136293,164.5%,100.0%,critical
overload,line_44,w-852812_-4626136293--4626136170,164.5%,100.0%,critical
overload,line_45,w-852815_-4626136335--4626136272,166.9%,100.0%,critical
overload,line_46,w-852815_-4626136272--4626136158,166.9%,100.0%,critical
overload,line_47,w-852815_-4626136158--4626136316,166.9%,100.0%,critical
overload,line_48,w-852815_-4626136316--4626136200,166.9%,100.0%,critical
overload,line_49,w-852815_-4626136200--4626136249,166.9%,100.0%,critical
overload,line_50,w-852815_-4626136249--4626136326,166.9%,100.0%,critical
overload,line_51,w-852815_-4626136326--4626136288,166.9%,100.0%,critical
overload,line_52,w-852815_-4626136288--4626136177,166.1%,100.0%,critical
overload,line_53,w-852815_-4626136177--4626136168,164.9%,100.0%,critical
overload,line_55,w-852822_-4626136302--4626136304,164.5%,100.0%,critical
overload,line_56,w-852822_-4626136304--4626136295,164.5%,100.0%,critical
overload,line_57,w-852822_-4626136295--4626136183,164.5%,100.0%,critical
overload,line_58,w-852824_-4626136217--4626136290,166.9%,100.0%,critical
overload,line_59,w-852824_-4626136290--4626136254,166.9%,100.0%,critical
overload,line_60,w-852824_-4626136254--4626136335,166.9%,100.0%,critical
overload,line_61,w-852825_-4626136173--4626136189,177.5%,100.0%,critical
overload,line_62,w-852826_-4626136182--4626136173,177.5%,100.0%,critical
overload,line_63,w-852827_-4626136166--4626136243,164.5%,100.0%,critical
overload,line_64,w-852827_-4626136243--4626136244,164.5%,100.0%,critical
overload,line_65,w-852828_-4626136194--4626136167,174.8%,100.0%,critical
overload,line_66,w-852829_-4626136245--4626136182,177.5%,100.0%,critical
overload,line_67,w-852831_-4626136161--4626139929,164.5%,100.0%,critical
overload,line_68,w-852831_-4626139929--4626136230,163.4%,100.0%,critical
overload,line_69,w-852832_-4626136174--4626136154,177.5%,100.0%,critical
overload,line_70,w-852833_-4626136189--4626136174,177.5%,100.0%,critical
overload,line_71,w-852836_-4626136241--4626136373,177.5%,100.0%,critical
overload,line_89,w-853516_-4626138898--4626138145,231.4%,100.0%,critical
overload,line_90,w-853516_-4626138145--4626138594,254.9%,100.0%,critical
overload,line_91,w-853516_-4626138594--4626137743,254.9%,100.0%,critical
overload,line_92,w-853516_-4626137743--4626138499,256.1%,100.0%,critical
overload,line_93,w-853516_-4626138499--4626138797,257.8%,100.0%,critical
overload,line_109,w-853534_-4626137760--4626138001,126.2%,100.0%,critical
