type,element,name,value,limit,severity
overload,line_432,w-853704_-4626138975--4626138811,92.2%,90.0%,warning
overload,line_433,w-853704_-4626138811--4626138032,96.1%,90.0%,warning
overload,line_434,w-853704_-4626138032--4626138162,103.5%,90.0%,warning
overload,line_435,w-853704_-4626138162--4626137934,107.4%,90.0%,warning
overload,line_436,w-853704_-4626137934--4626137898,113.0%,90.0%,warning
overload,line_437,w-853704_-4626137898--4626138738,116.9%,90.0%,warning
overload,line_438,w-853704_-4626138738--4626138230,167.2%,90.0%,critical
overload,line_439,w-853704_-4626138230--4626138231,171.2%,90.0%,critical
overload,line_440,w-853704_-4626138231--4626138496,178.7%,90.0%,critical
overload,line_441,w-853704_-4626138496--4626138307,184.3%,90.0%,critical
overload,line_442,w-853704_-4626138307--4626138646,148.9%,90.0%,critical
overload,line_443,w-853704_-4626138646--4626138982,145.1%,90.0%,critical
overload,line_444,w-853704_-4626138982--4626137757,143.0%,90.0%,critical
overload,line_445,w-853704_-4626137757--4626137920,140.7%,90.0%,critical
overload,line_446,w-853704_-4626137920--4626138157,134.8%,90.0%,critical
overload,line_447,w-853704_-4626138157--4626138406,134.8%,90.0%,critical
overload,line_448,w-853704_-4626138406--4626138844,130.8%,90.0%,critical
overload,line_449,w-853704_-4626138844--4626138258,127.7%,90.0%,critical
overload,line_450,w-853704_-4626138258--4626138433,125.6%,90.0%,critical
overload,line_451,w-853704_-4626138433--4626138534,93.0%,90.0%,warning
