start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(455366.5696228114, 5733697.44311528)","(455344.6086371101, 5733645.88470677)",56.040649363212005,945,Street_945,residential,return,0,40,building_to_plant,True
"(455344.6086371101, 5733645.88470677)","(455329.53173704137, 5733638.888884432)",16.62090388254236,945,Street_945,residential,return,0,40,building_to_plant,True
"(455329.53173704137, 5733638.888884432)","(455335.38582805457, 5733633.442536527)",7.9958168492340755,877,Street_877,residential,return,0,40,building_to_plant,True
"(455335.38582805457, 5733633.442536527)","(455339.66519487277, 5733629.467210975)",5.840906917167794,877,Street_877,residential,return,0,40,building_to_plant,True
"(455339.66519487277, 5733629.467210975)","(455392.2089670931, 5733582.932031554)",70.1881109791919,20,Street_20,residential,return,0,40,building_to_plant,True
"(455392.2089670931, 5733582.932031554)","(455416.241593322, 5733560.507543706)",32.86981561702452,20,Street_20,residential,return,0,40,building_to_plant,True
"(455416.241593322, 5733560.507543706)","(455420.02810992027, 5733556.992675121)",5.16643098486887,643,Street_643,residential,return,0,40,building_to_plant,True
"(455420.02810992027, 5733556.992675121)","(455428.7857257062, 5733548.862455844)",11.949740572329251,643,Street_643,residential,return,0,40,building_to_plant,True
"(455428.7857257062, 5733548.862455844)","(455444.36171148205, 5733531.885134924)",23.03998173830822,643,Street_643,residential,return,0,40,building_to_plant,True
"(455444.36171148205, 5733531.885134924)","(455455.33786536125, 5733522.467368998)",14.462719973345045,709,Street_709,residential,return,0,40,building_to_plant,True
"(455455.33786536125, 5733522.467368998)","(455471.0279336721, 5733509.003839761)",20.674739734888206,708,Street_708,residential,return,0,40,building_to_plant,True
"(455471.0279336721, 5733509.003839761)","(455569.90445706557, 5733424.133343258)",130.3056716150613,898,Street_898,residential,return,0,40,building_to_plant,True
"(455569.90445706557, 5733424.133343258)","(455622.03338414856, 5733379.3950209)",68.69455965504238,898,Street_898,residential,return,0,40,building_to_plant,True
"(455622.03338414856, 5733379.3950209)","(455696.0094877049, 5733330.249593952)",88.81293198253526,898,Street_898,residential,return,0,40,building_to_plant,True
"(455415.6932005465, 5733798.767920508)","(455366.5696228114, 5733697.44311528)",112.60480471097209,943,Street_943,residential,return,9,40,building_to_plant,True
"(455420.12287048984, 5733801.642804559)","(455415.6932005465, 5733798.767920508)",5.280808093014163,943,Street_943,residential,return,15,40,building_to_plant,True
"(455420.9902056796, 5733832.555740782)","(455420.12287048984, 5733801.642804559)",30.925101394216664,824,Street_824,residential,return,27,40,building_to_plant,True
"(455426.5819437253, 5733841.938141563)","(455420.9902056796, 5733832.555740782)",10.922315632925857,824,Street_824,residential,return,28,40,building_to_plant,True
"(455434.35024794855, 5733868.719156868)","(455424.12399477337, 5733859.044095437)",14.077750803740564,586,Street_586,residential,return,39,40,building_to_plant,True
"(455424.12399477337, 5733859.044095437)","(455385.4773000624, 5733822.837735085)",52.95722370022912,586,Street_586,residential,return,39,40,building_to_plant,True
"(455385.4773000624, 5733822.837735085)","(455360.10459768935, 5733799.060185933)",34.77277483033128,586,Street_586,residential,return,39,40,building_to_plant,True
"(455360.10459768935, 5733799.060185933)","(455269.6938414233, 5733714.352476981)",123.89310232816086,586,Street_586,residential,return,39,40,building_to_plant,True
"(455269.6938414233, 5733714.352476981)","(455258.1569195766, 5733704.856225812)",14.942534990959373,586,Street_586,residential,return,39,40,building_to_plant,True
"(455258.1569195766, 5733704.856225812)","(455271.155216177, 5733693.128839597)",17.506778742612944,417,Street_417,residential,return,39,40,building_to_plant,True
"(455271.155216177, 5733693.128839597)","(455320.288383398, 5733647.479614962)",67.0665328681958,417,Street_417,residential,return,39,40,building_to_plant,True
"(455320.288383398, 5733647.479614962)","(455329.53173704137, 5733638.888884432)",12.619042658600097,417,Street_417,residential,return,39,40,building_to_plant,True
"(455518.1623455527, 5733624.328203119)","(455479.2222251189, 5733560.51762487)",74.7537482399478,974,Street_974,residential,return,56,40,building_to_plant,True
"(455479.2222251189, 5733560.51762487)","(455459.5582580593, 5733531.316932321)",35.20443219087092,976,Street_976,residential,return,56,40,building_to_plant,True
"(455459.5582580593, 5733531.316932321)","(455458.15054610535, 5733526.70241554)",4.824460391051724,976,Street_976,residential,return,56,40,building_to_plant,True
"(455458.15054610535, 5733526.70241554)","(455455.33786536125, 5733522.467368998)",5.083974054148332,908,Street_908,residential,return,56,40,building_to_plant,True
"(455526.7622399238, 5733897.710498418)","(455545.6895882978, 5733891.370370382)",19.96100548504177,145,Street_145,residential,return,63,40,building_to_plant,True
"(455545.6895882978, 5733891.370370382)","(455564.4918555405, 5733887.278166999)",19.24243700771953,145,Street_145,residential,return,63,40,building_to_plant,True
"(455564.4918555405, 5733887.278166999)","(455589.59763511625, 5733878.603571947)",26.562167973071503,145,Street_145,residential,return,63,40,building_to_plant,True
"(455589.59763511625, 5733878.603571947)","(455604.5732612812, 5733871.886987581)",16.41285729465993,145,Street_145,residential,return,63,40,building_to_plant,True
"(455604.5732612812, 5733871.886987581)","(455615.8492514248, 5733863.645903586)",13.966510628032239,145,Street_145,residential,return,63,40,building_to_plant,True
"(455615.8492514248, 5733863.645903586)","(455645.1643547983, 5733842.232575093)",36.302974023508845,145,Street_145,residential,return,63,40,building_to_plant,True
"(455645.1643547983, 5733842.232575093)","(455649.24026998936, 5733836.312863924)",7.187215384151194,81,Street_81,residential,return,63,40,building_to_plant,True
"(455649.24026998936, 5733836.312863924)","(455614.1084180892, 5733780.487064152)",65.96034367762306,960,Street_960,residential,return,63,40,building_to_plant,True
"(455614.1084180892, 5733780.487064152)","(455577.5984706993, 5733721.125576862)",69.6904759037022,959,Street_959,residential,return,63,40,building_to_plant,True
"(455577.5984706993, 5733721.125576862)","(455518.1623455527, 5733624.328203119)",113.5886637651041,802,Street_802,residential,return,63,40,building_to_plant,True
"(455545.5007906316, 5733937.230191066)","(455566.72750801523, 5733914.553103469)",31.061613492386385,1098,Street_1098,residential,return,85,40,building_to_plant,True
"(455566.72750801523, 5733914.553103469)","(455579.6487061671, 5733897.199197493)",21.63597500299592,996,Street_996,residential,return,85,40,building_to_plant,True
"(455579.6487061671, 5733897.199197493)","(455600.87783396576, 5733880.239213135)",27.17198808509315,129,Street_129,residential,return,85,40,building_to_plant,True
"(455600.87783396576, 5733880.239213135)","(455614.12763838045, 5733877.430755732)",13.544177716441796,129,Street_129,residential,return,85,40,building_to_plant,True
"(455614.12763838045, 5733877.430755732)","(455626.36327830615, 5733869.203481566)",14.744454028054983,129,Street_129,residential,return,85,40,building_to_plant,True
"(455626.36327830615, 5733869.203481566)","(455640.12281423557, 5733854.511753254)",20.128877509736903,129,Street_129,residential,return,85,40,building_to_plant,True
"(455640.12281423557, 5733854.511753254)","(455645.16109954234, 5733847.348961413)",8.7572773043958,129,Street_129,residential,return,85,40,building_to_plant,True
