building_id,building_x,building_y,connection_x,connection_y,distance_to_street,street_segment_id,street_name,heating_load_kw,annual_heat_demand_kwh,building_type,building_area_m2,pipe_type,temperature_c,flow_direction,follows_street,connected_to_supply_pipe,connected_to_return_pipe
0,455383.4712243418,5733703.691371183,455366.5696228114,5733697.44311528,18.019568144654297,943,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
0,455383.4712243418,5733703.691371183,455366.5696228114,5733697.44311528,18.019568144654297,943,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
9,455416.27521174855,5733764.160533027,455415.6932005465,5733798.767920508,34.612281134262275,943,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
9,455416.27521174855,5733764.160533027,455415.6932005465,5733798.767920508,34.612281134262275,943,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
15,455426.1198123136,5733788.48961137,455420.12287048984,5733801.642804559,14.455787848630017,412,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
15,455426.1198123136,5733788.48961137,455420.12287048984,5733801.642804559,14.455787848630017,412,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
27,455453.2983244004,5733817.570181901,455420.9902056796,5733832.555740782,35.61434416445315,824,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
27,455453.2983244004,5733817.570181901,455420.9902056796,5733832.555740782,35.61434416445315,824,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
28,455457.5848268645,5733824.213973493,455426.5819437253,5733841.938141563,35.71169131675794,824,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
28,455457.5848268645,5733824.213973493,455426.5819437253,5733841.938141563,35.71169131675794,824,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
39,455476.4675196552,5733843.479338384,455434.35024794855,5733868.719156868,49.101049001984386,717,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
39,455476.4675196552,5733843.479338384,455434.35024794855,5733868.719156868,49.101049001984386,717,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
56,455493.7362652845,5733651.94030953,455518.1623455527,5733624.328203119,36.86545561512022,805,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
56,455493.7362652845,5733651.94030953,455518.1623455527,5733624.328203119,36.86545561512022,805,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
63,455504.61259055755,5733868.815997539,455526.7622399238,5733897.710498418,36.40740512690294,145,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
63,455504.61259055755,5733868.815997539,455526.7622399238,5733897.710498418,36.40740512690294,145,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
85,455537.33746219595,5733928.401568821,455545.5007906316,5733937.230191066,12.024329582009477,1098,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
85,455537.33746219595,5733928.401568821,455545.5007906316,5733937.230191066,12.024329582009477,1098,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
92,455541.94350789266,5733778.978744985,455575.7093833811,5733807.47522157,44.18352096952354,961,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
92,455541.94350789266,5733778.978744985,455575.7093833811,5733807.47522157,44.18352096952354,961,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
109,455566.588580422,5733944.715229281,455581.53770698025,5733936.8343175715,16.899264902109234,998,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
109,455566.588580422,5733944.715229281,455581.53770698025,5733936.8343175715,16.899264902109234,998,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
110,455571.9434905903,5733957.611948057,455587.8180970608,5733946.077348065,19.622694197733182,998,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
110,455571.9434905903,5733957.611948057,455587.8180970608,5733946.077348065,19.622694197733182,998,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
129,455592.9613667944,5733974.440309364,455611.9180637346,5733965.852013578,20.81141954314069,998,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
129,455592.9613667944,5733974.440309364,455611.9180637346,5733965.852013578,20.81141954314069,998,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
159,455619.20660485234,5733590.290113628,455647.1528010921,5733561.671888208,39.99990888056506,805,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
159,455619.20660485234,5733590.290113628,455647.1528010921,5733561.671888208,39.99990888056506,805,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
165,455632.31864384905,5734008.905914023,455642.8713082458,5734027.0311691435,20.973402181549535,468,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
165,455632.31864384905,5734008.905914023,455642.8713082458,5734027.0311691435,20.973402181549535,468,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
198,455664.29908761824,5733770.818533905,455702.3234306047,5733800.019999536,47.943469362835174,739,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
198,455664.29908761824,5733770.818533905,455702.3234306047,5733800.019999536,47.943469362835174,739,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
200,455667.8952411267,5733844.830523587,455653.1078743674,5733839.660046751,15.66524964333223,499,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
200,455667.8952411267,5733844.830523587,455653.1078743674,5733839.660046751,15.66524964333223,499,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
205,455663.92332926596,5733660.503030212,455698.1265812555,5733659.590703822,34.21541737437931,757,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
205,455663.92332926596,5733660.503030212,455698.1265812555,5733659.590703822,34.21541737437931,757,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
220,455687.7608848787,5733977.498023818,455697.9027673028,5733999.797030042,24.497009157618812,1030,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
220,455687.7608848787,5733977.498023818,455697.9027673028,5733999.797030042,24.497009157618812,1030,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
256,455718.80311902566,5734044.660654502,455712.0168689955,5734067.030838733,23.376876009928992,523,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
256,455718.80311902566,5734044.660654502,455712.0168689955,5734067.030838733,23.376876009928992,523,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
286,455733.8996920767,5733981.518258629,455749.41773739824,5733998.087209461,22.701098261321317,1030,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
286,455733.8996920767,5733981.518258629,455749.41773739824,5733998.087209461,22.701098261321317,1030,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
298,455738.15411594656,5734057.571359205,455747.09859008505,5734052.30761382,10.3783733356744,502,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
298,455738.15411594656,5734057.571359205,455747.09859008505,5734052.30761382,10.3783733356744,502,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
315,455757.97351219156,5734060.510481474,455767.5961647739,5734053.451090125,11.934422857171672,907,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
315,455757.97351219156,5734060.510481474,455767.5961647739,5734053.451090125,11.934422857171672,907,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
335,455767.7416066014,5733560.939198105,455807.74184755306,5733549.90507951,41.49422910900503,899,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
335,455767.7416066014,5733560.939198105,455807.74184755306,5733549.90507951,41.49422910900503,899,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
349,455774.6382955322,5733867.751468795,455821.06830623886,5733877.557368377,47.45420488038516,497,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
349,455774.6382955322,5733867.751468795,455821.06830623886,5733877.557368377,47.45420488038516,497,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
358,455783.83742483717,5734233.312638763,455765.13000420964,5734230.810182243,18.874052960961695,1011,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
358,455783.83742483717,5734233.312638763,455765.13000420964,5734230.810182243,18.874052960961695,1011,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
362,455778.55190731265,5734092.673302132,455779.30277551414,5734080.898739522,11.798479889301962,654,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
362,455778.55190731265,5734092.673302132,455779.30277551414,5734080.898739522,11.798479889301962,654,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
363,455785.664851108,5733928.174757651,455828.3528874858,5733924.986588671,42.806925505592694,248,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
363,455785.664851108,5733928.174757651,455828.3528874858,5733924.986588671,42.806925505592694,248,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
365,455785.83238666586,5734100.47683339,455794.3213400813,5734085.404953895,17.298088958004453,958,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
365,455785.83238666586,5734100.47683339,455794.3213400813,5734085.404953895,17.298088958004453,958,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
370,455789.17082619487,5733991.210916349,455817.2639770868,5734001.773603019,30.01325501738023,1087,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
370,455789.17082619487,5733991.210916349,455817.2639770868,5734001.773603019,30.01325501738023,1087,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
372,455785.08058744814,5734182.776538184,455787.7891686074,5734172.418144699,10.70666743112059,666,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
372,455785.08058744814,5734182.776538184,455787.7891686074,5734172.418144699,10.70666743112059,666,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
373,455786.10675634694,5734046.866078761,455788.4217532986,5734052.645329368,6.2256685153900095,655,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
373,455786.10675634694,5734046.866078761,455788.4217532986,5734052.645329368,6.2256685153900095,655,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
374,455797.5889174171,5734252.226602672,455808.5517994681,5734232.1306317765,22.891763345857825,406,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
374,455797.5889174171,5734252.226602672,455808.5517994681,5734232.1306317765,22.891763345857825,406,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
384,455791.1876368659,5734204.167142938,455773.2323261282,5734208.660805198,18.509083829216962,662,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
384,455791.1876368659,5734204.167142938,455773.2323261282,5734208.660805198,18.509083829216962,662,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
391,455809.28512247454,5734271.462080273,455837.17656830855,5734258.084127825,30.93383846882271,67,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
391,455809.28512247454,5734271.462080273,455837.17656830855,5734258.084127825,30.93383846882271,67,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
395,455798.8516035452,5734041.265344376,455810.5672581159,5734049.64805814,14.405778426357125,957,Unknown,10.0,24000,residential,120,supply_service,70,main_to_building,True,True,True
395,455798.8516035452,5734041.265344376,455810.5672581159,5734049.64805814,14.405778426357125,957,Unknown,10.0,24000,residential,120,return_service,40,building_to_main,True,True,True
