start_node,end_node,length_m,street_id,street_name,highway_type,pipe_type,building_served,temperature_c,flow_direction,follows_street
"(455696.0094877049, 5733330.249593952)","(455622.03338414856, 5733379.3950209)",88.81293198253526,898,Street_898,residential,supply,0,70,plant_to_building,True
"(455622.03338414856, 5733379.3950209)","(455569.90445706557, 5733424.133343258)",68.69455965504238,898,Street_898,residential,supply,0,70,plant_to_building,True
"(455569.90445706557, 5733424.133343258)","(455471.0279336721, 5733509.003839761)",130.3056716150613,898,Street_898,residential,supply,0,70,plant_to_building,True
"(455471.0279336721, 5733509.003839761)","(455455.33786536125, 5733522.467368998)",20.674739734888206,708,Street_708,residential,supply,0,70,plant_to_building,True
"(455455.33786536125, 5733522.467368998)","(455444.36171148205, 5733531.885134924)",14.462719973345045,709,Street_709,residential,supply,0,70,plant_to_building,True
"(455444.36171148205, 5733531.885134924)","(455428.7857257062, 5733548.862455844)",23.03998173830822,643,Street_643,residential,supply,0,70,plant_to_building,True
"(455428.7857257062, 5733548.862455844)","(455420.02810992027, 5733556.992675121)",11.949740572329251,643,Street_643,residential,supply,0,70,plant_to_building,True
"(455420.02810992027, 5733556.992675121)","(455416.241593322, 5733560.507543706)",5.16643098486887,643,Street_643,residential,supply,0,70,plant_to_building,True
"(455416.241593322, 5733560.507543706)","(455392.2089670931, 5733582.932031554)",32.86981561702452,20,Street_20,residential,supply,0,70,plant_to_building,True
"(455392.2089670931, 5733582.932031554)","(455339.66519487277, 5733629.467210975)",70.1881109791919,20,Street_20,residential,supply,0,70,plant_to_building,True
"(455339.66519487277, 5733629.467210975)","(455335.38582805457, 5733633.442536527)",5.840906917167794,877,Street_877,residential,supply,0,70,plant_to_building,True
"(455335.38582805457, 5733633.442536527)","(455329.53173704137, 5733638.888884432)",7.9958168492340755,877,Street_877,residential,supply,0,70,plant_to_building,True
"(455329.53173704137, 5733638.888884432)","(455344.6086371101, 5733645.88470677)",16.62090388254236,945,Street_945,residential,supply,0,70,plant_to_building,True
"(455344.6086371101, 5733645.88470677)","(455366.5696228114, 5733697.44311528)",56.040649363212005,945,Street_945,residential,supply,0,70,plant_to_building,True
"(455366.5696228114, 5733697.44311528)","(455415.6932005465, 5733798.767920508)",112.60480471097209,943,Street_943,residential,supply,9,70,plant_to_building,True
"(455415.6932005465, 5733798.767920508)","(455420.12287048984, 5733801.642804559)",5.280808093014163,943,Street_943,residential,supply,15,70,plant_to_building,True
"(455420.12287048984, 5733801.642804559)","(455420.9902056796, 5733832.555740782)",30.925101394216664,824,Street_824,residential,supply,27,70,plant_to_building,True
"(455420.9902056796, 5733832.555740782)","(455426.5819437253, 5733841.938141563)",10.922315632925857,824,Street_824,residential,supply,28,70,plant_to_building,True
"(455329.53173704137, 5733638.888884432)","(455320.288383398, 5733647.479614962)",12.619042658600097,417,Street_417,residential,supply,39,70,plant_to_building,True
"(455320.288383398, 5733647.479614962)","(455271.155216177, 5733693.128839597)",67.0665328681958,417,Street_417,residential,supply,39,70,plant_to_building,True
